+------------------+-----------------------------+-----------------------+
| id_pessoa_fisica | nom_cidade                  | des_estado            |
+------------------+-----------------------------+-----------------------+
| 41173256         | TREMEMBE                    | SAO PAULO             |
| 212014803        | SALVADOR                    | BAHIA                 |
| 252868763        | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 351777344        | CORURIPE                    | ALAGOAS               |
| 84464227         | GUAPIACU                    | SAO PAULO             |
| 191052496        | SINOP                       | MATO GROSSO           |
| 184044224        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 42512664         | FLORIANOPOLIS               | SANTA CATARINA        |
| 265939717        | GUARAPARI                   | ESPIRITO SANTO        |
| 70925411         | MORAUJO                     | CEARA                 |
| 52404837         | SOROCABA                    | SAO PAULO             |
| 330187373        | FORTALEZA                   | CEARA                 |
| 803384987        | CAPITOLIO                   | MINAS GERAIS          |
| 151156317        | COTIA                       | SAO PAULO             |
| 792989333        | CAMPO GRANDE                | MATO GROSSO DO SUL    |
| 131944776        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 120050997        | RECIFE                      | PERNAMBUCO            |
| 10386581         | MEDIANEIRA                  | PARANA                |
| 127385723        | MANAUS                      | AMAZONAS              |
| 75820744         | SOROCABA                    | SAO PAULO             |
| 156591907        | MACEIO                      | ALAGOAS               |
| 89700507         | CATALAO                     | GOIAS                 |
| 44253557         | SAO PAULO                   | SAO PAULO             |
| 243776125        | FORTALEZA                   | CEARA                 |
| 276173640        | GOIANIA                     | GOIAS                 |
| 738288411        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 271350568        | NOVA LIMA                   | MINAS GERAIS          |
| 3219061          | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 259521893        | GUAPO                       | GOIAS                 |
| 288244056        | ITAPEVA                     | SAO PAULO             |
| 657657467        | NITEROI                     | RIO DE JANEIRO        |
| 383727683        | FRANCISCOPOLIS              | MINAS GERAIS          |
| 6276509          | GUARULHOS                   | SAO PAULO             |
| 56074997         | MONTE CARMELO               | MINAS GERAIS          |
| 203246013        | JOAO MONLEVADE              | MINAS GERAIS          |
| 124011072        | ITAJAI                      | SANTA CATARINA        |
| 245067213        | AMERICANA                   | SAO PAULO             |
| 151547408        | CONCEICAO DO COITE          | BAHIA                 |
| 187477707        | VARZEA GRANDE               | MATO GROSSO           |
| 219755619        | PINDAMONHANGABA             | SAO PAULO             |
| 283025448        | SAO PAULO                   | SAO PAULO             |
| 235451499        | SAO PAULO                   | SAO PAULO             |
| 692586605        | SAO GONCALO DO AMARANTE     | CEARA                 |
| 653393685        | ANANINDEUA                  | PARA                  |
| 6167291          | BELO HORIZONTE              | MINAS GERAIS          |
| 148479296        | MACEIO                      | ALAGOAS               |
| 74825549         | SALVADOR                    | BAHIA                 |
| 38089691         | SAO PAULO                   | SAO PAULO             |
| 246049187        | SAO PAULO                   | SAO PAULO             |
| 132151960        | SANTANA DO LIVRAMENTO       | RIO GRANDE DO SUL     |
| 222461341        | BALSAS                      | MARANHAO              |
| 197949877        | SOROCABA                    | SAO PAULO             |
| 143841437        | CURITIBA                    | PARANA                |
| 2803440          | MACEIO                      | ALAGOAS               |
| 38792107         | SAO PAULO                   | SAO PAULO             |
| 351407477        | MARACANAU                   | CEARA                 |
| 362444680        | SALVADOR                    | BAHIA                 |
| 160792376        | SENADOR LA ROCQUE           | MARANHAO              |
| 116020339        | ITAPORANGA                  | PARAIBA               |
| 246688275        | NOVO PLANALTO               | GOIAS                 |
| 137225421        | JABOATAO DOS GUARARAPES     | PERNAMBUCO            |
| 244878067        | CAUCAIA                     | CEARA                 |
| 744247909        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 760643389        | ARACATI                     | CEARA                 |
| 655940843        | TRINDADE                    | GOIAS                 |
| 110518733        | BRASILIA                    | DISTRITO FEDERAL      |
| 289118896        | FORTALEZA                   | CEARA                 |
| 751871944        | NATAL                       | RIO GRANDE DO NORTE   |
| 68155307         | XIQUE-XIQUE                 | BAHIA                 |
| 59903232         | SANTOS                      | SAO PAULO             |
| 239835064        | SALVADOR                    | BAHIA                 |
| 681592256        | BOA VISTA                   | RORAIMA               |
| 396703592        | ARACI                       | BAHIA                 |
| 125493608        | CATU                        | BAHIA                 |
| 50360141         | SAO BERNARDO DO CAMPO       | SAO PAULO             |
| 172665957        | ARACAJU                     | SERGIPE               |
| 89856035         | GOIANIA                     | GOIAS                 |
| 657294053        | RIBAS DO RIO PARDO          | MATO GROSSO DO SUL    |
| 335563381        | PACAJUS                     | CEARA                 |
| 243100880        | IBITINGA                    | SAO PAULO             |
| 272268837        | SAO PAULO                   | SAO PAULO             |
| 112433856        | CURITIBA                    | PARANA                |
| 762246547        | BALNEARIO CAMBORIU          | SANTA CATARINA        |
| 283280907        | OSASCO                      | SAO PAULO             |
| 49410677         | MACAE                       | RIO DE JANEIRO        |
| 117979363        | RECIFE                      | PERNAMBUCO            |
| 22158237         | CONTAGEM                    | MINAS GERAIS          |
| 346143461        | ANAPOLIS                    | GOIAS                 |
| 664014251        | SAO PAULO                   | SAO PAULO             |
| 44305675         | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 65424784         | MONTE ALTO                  | SAO PAULO             |
| 144953539        | BRASILIA                    | DISTRITO FEDERAL      |
| 138706528        | RECIFE                      | PERNAMBUCO            |
| 665882565        | PONTA GROSSA                | PARANA                |
| 667061603        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 186656376        | CARUARU                     | PERNAMBUCO            |
| 164463008        | SUZANO                      | SAO PAULO             |
| 55602528         | SAO PAULO                   | SAO PAULO             |
| 362421819        | JEQUIE                      | BAHIA                 |
| 260995963        | SALVADOR                    | BAHIA                 |
| 198623368        | IMBARIE                     | RIO DE JANEIRO        |
| 207617664        | URUGUAIANA                  | RIO GRANDE DO SUL     |
| 124086192        | SAO LUIS                    | MARANHAO              |
| 104903773        | CONCORDIA                   | SANTA CATARINA        |
| 699147355        | CUIABA                      | MATO GROSSO           |
| 113138941        | FORTALEZA                   | CEARA                 |
| 281123533        | MORENO                      | PERNAMBUCO            |
| 195588704        | GOIANIA                     | GOIAS                 |
| 179802328        | RECIFE                      | PERNAMBUCO            |
| 259287485        | ARAQUARI                    | SANTA CATARINA        |
| 713338227        | ULIANOPOLIS                 | PARA                  |
| 101254392        | APUCARANA                   | PARANA                |
| 661808813        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 672997856        | SAO PAULO                   | SAO PAULO             |
| 182529256        | BARRA BONITA                | SAO PAULO             |
| 69225632         | LENCOIS PAULISTA            | SAO PAULO             |
| 264102171        | BELO HORIZONTE              | MINAS GERAIS          |
